Name,Location,Year,Combustible,Kilometers,Transmission,Power [CV],Price [€],Financed Price,Dealer,Dealer Rating (over 5)
MAHINDRA XUV500 2.2D W8 FWD,Salamanca,2016, Diésel,66.000,Manual,140,12.490,Con financiación,DIRDAM CAR,"4,0"
OPEL Mokka 1.6CDTi S&S Excellence 4x2,Cantabria,2015, Diésel,81.000,Manual,136,12.900,Sin financiación,AUTOMOVILES EL CAMPON,"4,0"
AUDI A3 Sportback 40 TFSIe Advanced S tronic,La Coruña,2021, Híbrido Enchufable,4.000,Automático,150,35.600,Con financiación,n/a,n/a
RENAULT Mégane 1.3 TCe GPF Limited 103kW,Vizcaya,2019, Gasolina,7.857,Manual,140,16.600,Con financiación,RENAULT TALLERES GARBI,"4,0"
PORSCHE Cayenne E-Hybrid Aut.,Barcelona,2018, Híbrido Enchufable,63.000,Automático,462,82.900,Sin financiación,CENTRO PORSCHE BARCELONA,"3,5"
MERCEDES-BENZ Clase GLC Coupé 220d 4Matic 9G-Tronic,Pontevedra,2020, Diésel,38.000,Automático,194,56.900,Con financiación,AUTOS ROSAS,"5,0"
BMW X6 xDrive 40dA,Barcelona,2018, Diésel,80.000,Automático,313,46.950,Con financiación,n/a,n/a
BMW Serie 1 118dA,Madrid,2021, Diésel,5.986,Automático,150,32.900,Con financiación,n/a,n/a
FORD EcoSport 1.0 EcoBoost Trend 140,Vizcaya,2017, Gasolina,78.000,Manual,140,10.890,Con financiación,DURANGAUTO,"3,5"
LAND-ROVER Defender 90 2.5Td5 SW S,Barcelona,2006, Diésel,108.000,Manual,122,26.500,Sin financiación,APOU,"3,5"
NISSAN Qashqai 1.5dCi N-Connecta DCT 4x2 85kW,Albacete,2020, Diésel,3.856,Automático,115,25.350,Con financiación,NISSAN ROMOVIL,"4,5"
MITSUBISHI ASX 180DI-D Motion,Ciudad Real,2012, Diésel,108.185,Manual,116,10.990,Sin financiación,n/a,n/a
RENAULT Captur TCe Energy Zen 66kW,Barcelona,2018, Gasolina,60.500,Manual,90,12.700,Con financiación,n/a,n/a
AUDI A4 2.0 35 TDI S TRONIC S LINE 150 4P,Murcia,2019, Diésel,20.053,Automático,150,33.500,Sin financiación,n/a,n/a
FORD Kuga 1.5 EcoB. Auto S&S Business 4x2 150,Barcelona,2017, Gasolina,65.460,Manual,150,17.600,Sin financiación,n/a,n/a
DAEWOO Lanos 1.6 16v. SX,Valencia,2000, Gasolina,185.000,Manual,106,1.500,Sin financiación,MA AUTOMOCION,"4,5"
AUDI A1 1.0 TFSI Adrenalin,Valencia,2016, Gasolina,83.923,Manual,95,12.900,Con financiación,TRAVERAUTO,"4,5"
NISSAN Qashqai 1.3 DIG-T N-Connecta 4x2 103kW,Madrid,2019, Gasolina,88.291,Manual,140,16.460,Con financiación,GAMBOA OCASION,"4,0"
FORD Kuga 2.0TDCi Titanium 4x4 Powershift 180,Tarragona,2017, Diésel,38.000,Automático,180,22.975,Con financiación,GO MOTOR.,"4,5"
TOYOTA Prius Plug-In 125PH Solar,Murcia,2020, Híbrido,8.659,Automático,122,31.800,Con financiación,n/a,n/a
AUDI A4 2.0 35 TDI S TRONIC S LINE 150 4P,Murcia,2019, Diésel,20.053,Automático,150,33.500,Sin financiación,n/a,n/a
FORD Kuga 1.5 EcoB. Auto S&S Business 4x2 150,Barcelona,2017, Gasolina,65.460,Manual,150,17.600,Sin financiación,n/a,n/a
CITROEN C-Elysée PURETECH 82,Cantabria,2017, Gasolina,42.750,Manual,82,8.990,Con financiación,"AUTO NORTE, concesionario y servicio oficial","4,5"
FORD C-Max 1.5TDCi Trend+ 120,Pontevedra,2018, Diésel,78.700,Manual,120,13.990,Con financiación,n/a,n/a
BMW Serie 4 M4 Coupé Competition,Barcelona,2021, Gasolina,4.200,Automático,510,107.900,Con financiación,DRIVER CARS BCN,"5,0"
BMW X6 xDrive 30dA,Barcelona,2021, Diésel,4.500,Automático,286,84.900,Con financiación,DRIVER CARS BCN,"5,0"
AUDI Q8 RS TFSI quattro tiptronic ABT Power S,Barcelona,2021, Gasolina,10,Automático,740,285.900,Con financiación,DRIVER CARS BCN,"5,0"
AUDI A3 Sportback 2.0TDI S Line Edition 110kW,Barcelona,2016, Diésel,86.000,Manual,150,18.000,Con financiación,ÉLITE MATARÓ,"0,0"
PORSCHE Cayenne E-Hybrid Aut.,Vizcaya,2018, Híbrido Enchufable,93.000,Automático,462,79.990,Sin financiación,n/a,n/a
BMW Serie 1 118d Sport,Murcia,2013, Diésel,100.000,Manual,143,12.000,Sin financiación,NEVAUTO,"4,0"
DACIA Duster 1.5dCi Ambiance 4x2 90,Madrid,2014, Diésel,110.700,Manual,90,8.900,Sin financiación,n/a,n/a
VOLKSWAGEN Golf 1.4 TSI Advance DSG7 92kW,Huesca,2017, Gasolina,36.500,Automático,125,16.990,Con financiación,Automóviles Cabrero Monzón,"5,0"
VOLKSWAGEN Golf 1.5 ETSI 110KW DSG STYLE 5P,Barcelona,2020, Gasolina,10.215,Automático,150,27.000,Con financiación,n/a,n/a
AUDI Q3 SPORTBACK 2.0 35 TDI 110KW S TRONIC S LINE 150 5P,Murcia,2020, Diésel,35.246,Automático,150,42.200,Con financiación,AUDI HUERTAS MOTOR CARTAGENA,"5,0"
AUDI A3 2.0 35 TDI S LINE SPORTBACK 150 5P,Murcia,2020, Diésel,13.886,Manual,150,27.200,Con financiación,AUDI HUERTAS MOTOR CARTAGENA,"5,0"
AUDI A3 1.6 30 TDI ALL-IN SPORTBACK 116 5P,Murcia,2020, Diésel,10,Manual,116,27.000,Sin financiación,n/a,n/a
AUDI A3 1.6 30 TDI ALL-IN SPORTBACK 116 5P,Murcia,2020, Diésel,10,Manual,116,27.000,Sin financiación,n/a,n/a
VOLKSWAGEN Golf 2.0TDI GTD DSG7 135kW(4.75),Málaga,2017, Diésel,96.700,Automático,184,24.990,Sin financiación,DCARS SPAIN,"4,0"
AUDI A4 Avant 2.0TDI Multitronic DPF 143,Valladolid,2011, Diésel,149.000,Automático,143,11.490,Sin financiación,n/a,n/a
AUDI Q5 2.0TDI Design quattro-ultra S tronic 140kW,Madrid,2017, Diésel,77.160,Automático,190,31.400,Con financiación,PSA RETAIL MADRID VILLAVERDE,"4,0"
BMW Serie 1 116d,Tarragona,2009, Diésel,134.000,Manual,115,9.995,Sin financiación,AUTOMEDES INDUSTRIAL,"0,0"
DAEWOO Lanos 1.6 16v. SX,Valencia,2000, Gasolina,185.000,Manual,106,1.500,Sin financiación,MA AUTOMOCION,"4,5"
AUDI A1 1.0 TFSI Adrenalin,Valencia,2016, Gasolina,83.923,Manual,95,12.900,Con financiación,TRAVERAUTO,"4,5"
MERCEDES-BENZ Clase C C-CLASS 220 D BLUETEC AMG LINE,Murcia,2017, Diésel,66.355,Automático,170,28.200,Con financiación,n/a,n/a
